Sum of Value,Column Labels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row Labels,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,Grand Total
Australia,35398.59,35772.92,36574.11,37001.06,37490.83,38110.90,39081.67,40110.73,41119.06,42105.20,43081.85,44047.54,45013.24,45986.13,46972.52,47974.94,48962.62,49973.15,51003.43,52045.78,53094.96,54126.79,55165.88,56211.90,57265.61,58325.85,59356.53,60392.37,61431.80,62471.94,63509.99,64510.74,65516.28,66526.37,67541.88,68564.53,69561.10,70572.57,71600.57,72646.91,73712.83,74769.70,75848.99,76951.82,78077.98,79226.11,80395.17,81585.57,82797.13,84029.47,85282.46,2988898.09
Austria,35273.44,36215.04,36388.03,36461.68,36905.13,37602.37,38506.77,39377.62,40173.35,40914.17,41625.19,42312.70,42995.91,43684.99,44386.73,45101.06,45833.11,46584.50,47357.10,48150.48,48964.63,49799.76,50654.57,51527.07,52414.67,53316.97,54234.71,55163.44,56102.91,57053.47,58011.00,58977.34,59953.73,60939.77,61936.66,62944.21,63960.85,64988.93,66031.16,67089.89,68162.76,69251.11,70354.51,71473.06,72604.57,73749.12,74905.25,76071.48,77248.83,78435.62,79631.40,2791802.82
Belgium,33010.37,33338.83,33045.74,32884.28,33160.39,33511.35,33925.11,34386.44,34879.79,35406.81,35970.52,36570.36,37199.35,37841.52,38496.96,39166.41,39851.21,40553.48,41274.40,42013.64,42770.09,43543.34,44331.98,45119.66,45905.73,46691.03,47476.45,48263.36,49053.20,49846.95,50645.79,51451.05,52264.69,53088.25,53923.12,54770.26,55630.82,56506.17,57397.53,58306.12,59233.10,60179.82,61147.42,62136.75,63148.00,64180.76,65234.84,66310.10,67406.07,68521.63,69655.78,2440626.78
Brazil,10092.71,10278.47,10294.36,10439.87,10537.29,10682.05,10905.71,11139.05,11364.93,11583.39,11798.71,12015.54,12238.08,12469.85,12713.57,12971.17,13243.67,13531.25,13833.22,14148.15,14474.25,14809.76,15153.19,15503.30,15859.05,16219.66,16584.74,16954.22,17328.32,17707.55,18092.69,18484.85,18885.31,19295.31,19715.90,20147.67,20590.71,21044.42,21507.47,21977.78,22452.56,22928.53,23402.07,23869.30,24326.51,24770.15,25197.12,25605.11,25992.92,26360.93,26710.59,868233.01
Canada,36287.11,36815.30,37068.13,37443.91,37994.48,38652.74,39075.79,39458.63,39855.88,40280.38,40734.31,41216.21,41723.84,42256.11,42803.78,43360.89,43927.81,44506.25,45097.07,45700.34,46315.75,46942.63,47580.80,48230.07,48889.86,49559.37,50238.39,50927.21,51625.77,52333.63,53050.38,53776.58,54513.32,55260.79,56018.48,56785.91,57562.73,58349.97,59149.43,59963.24,60792.77,61638.42,62500.16,63377.57,64269.38,65174.02,66090.70,67019.42,67959.70,68911.11,69873.48,2588940.01
Chile,14469.25,15159.33,15842.53,16367.08,16809.63,17374.81,18190.43,19082.16,19997.37,20918.35,21837.27,22748.52,23647.53,24531.22,25398.31,26248.89,27084.08,27905.66,28715.62,29516.15,30309.65,31098.71,31885.97,32673.73,33464.14,34259.17,35060.59,35870.00,36688.57,37516.88,38355.03,39203.01,40060.82,40927.93,41803.37,42685.86,43574.07,44467.20,45364.91,46267.20,47173.74,48083.80,48996.35,49910.44,50825.27,51740.25,52655.54,53571.58,54488.66,55407.36,56328.80,1762562.78
China (People's Republic of),6712.58,7290.64,7799.41,8346.19,8908.00,9507.59,10090.82,10665.06,11233.14,11797.45,12359.78,12921.53,13483.54,14046.19,14609.69,15174.71,15742.94,16316.94,16899.40,17493.32,18102.11,18729.41,19378.77,20053.07,20753.99,21481.71,22234.60,23009.29,23801.04,24604.08,25412.04,26218.67,27018.67,27808.09,28584.51,29347.06,30096.46,30834.86,31565.52,32292.61,33020.77,33754.86,34499.27,35257.34,36031.45,36822.59,37630.64,38454.25,39290.80,40137.53,40991.22,1148616.21
Czech Republic,23627.81,23970.10,23655.14,23347.82,23562.19,24062.92,24989.65,26003.59,27020.37,28028.06,29029.29,30026.64,31021.15,32015.85,33011.05,34005.27,35000.30,35997.76,36997.85,37994.34,38985.79,39971.81,40947.96,41908.66,42849.89,43766.82,44658.36,45524.68,46365.70,47180.83,47974.84,48757.65,49535.00,50312.04,51092.32,51880.62,52685.73,53508.50,54348.40,55210.52,56096.75,57011.41,57959.99,58946.11,59970.74,61039.50,62151.69,63310.92,64522.93,65783.93,67101.05,2204728.30
Denmark,32393.52,32624.68,32393.12,32410.77,32764.54,33234.20,33724.75,34191.23,34645.59,35107.32,35590.05,36100.01,36639.70,37208.73,37806.39,38430.88,39080.38,39756.68,40458.16,41182.19,41929.58,42699.55,43491.15,44310.32,45156.76,46028.81,46924.65,47842.32,48783.37,49750.07,50739.56,51751.06,52787.75,53846.97,54927.36,56027.09,57144.25,58277.09,59424.06,60583.21,61752.95,62931.49,64117.89,65310.78,66508.24,67710.06,68914.33,70122.91,71332.59,72547.68,73765.49,2473182.27
Estonia,16613.41,18213.64,18943.80,19113.70,19354.09,19963.66,20868.39,21818.61,22743.13,23633.79,24495.46,25334.90,26156.94,26966.85,27769.23,28569.17,29361.56,30150.50,30942.65,31744.43,32556.28,33383.44,34226.09,35084.66,35955.50,36838.10,37730.99,38635.61,39550.75,40475.64,41405.54,42339.08,43273.54,44206.92,45138.83,46066.63,46990.09,47908.04,48822.51,49732.81,50644.75,51563.39,52489.38,53422.16,54366.48,55324.86,56304.62,57309.51,58334.26,59385.49,60455.85,1912679.72
Finland,31371.73,32107.73,31634.73,31054.75,30982.75,31204.13,31968.28,32839.38,33706.00,34554.68,35380.40,36185.56,36971.50,37741.30,38499.37,39246.04,39986.82,40727.10,41471.08,42220.58,42978.52,43746.13,44523.50,45310.43,46106.89,46911.05,47720.02,48532.75,49348.27,50165.35,50983.28,51801.25,52618.07,53435.28,54253.46,55072.10,55891.36,56711.33,57530.28,58350.06,59173.14,60000.45,60832.13,61667.04,62500.35,63334.28,64165.91,64997.05,65825.94,66655.79,67484.31,2418479.74
France,29645.80,30089.39,29949.06,29888.71,30016.50,30335.23,31012.87,31739.09,32443.01,33131.03,33818.59,34517.50,35234.83,35972.56,36730.31,37505.64,38293.90,39080.63,39860.16,40628.55,41383.86,42124.98,42851.23,43563.50,44261.36,44945.44,45616.59,46275.60,46924.96,47567.61,48205.37,48839.33,49471.36,50103.82,50738.70,51377.63,52020.58,52671.15,53330.63,54000.89,54681.74,55373.43,56076.91,56793.04,57520.54,58258.05,59004.03,59756.88,60514.09,61273.01,62030.98,2277450.64
Germany,33432.25,34660.30,35039.33,35296.18,36051.94,36865.72,37315.43,37723.85,38161.91,38628.56,39116.08,39616.48,40125.30,40641.04,41162.60,41687.59,42219.44,42760.34,43312.74,43876.36,44454.31,45050.11,45664.98,46302.25,46962.74,47648.83,48362.87,49103.18,49873.03,50670.67,51489.94,52330.22,53188.71,54065.82,54961.70,55876.00,56806.29,57756.73,58726.44,59717.08,60726.58,61753.68,62795.60,63852.37,64921.41,66004.20,67094.61,68198.60,69307.71,70416.43,71521.36,2533297.85
Greece,24004.17,22235.75,20626.18,19780.87,19670.85,19999.43,21024.04,22098.23,23079.63,23980.44,24829.32,25647.97,26451.92,27245.44,28032.05,28812.79,29588.48,30372.57,31157.19,31938.36,32718.10,33495.04,34263.73,35018.12,35740.34,36425.31,37069.22,37678.49,38251.86,38793.92,39304.61,39791.03,40256.87,40706.37,41144.62,41576.32,42001.00,42429.95,42864.00,43307.03,43760.54,44226.25,44705.56,45200.15,45706.27,46226.75,46756.50,47298.43,47851.83,48417.21,48992.55,1782553.63
Hungary,16920.94,17208.31,16932.57,17157.75,17518.25,17821.52,18150.39,18488.62,18834.47,19186.64,19547.21,19921.64,20312.72,20722.96,21147.95,21589.53,22049.94,22532.24,23037.75,23559.90,24098.17,24653.18,25224.96,25811.44,26413.84,27033.73,27669.94,28323.40,28991.09,29672.52,30359.19,31054.70,31761.82,32478.98,33204.31,33935.86,34672.94,35414.68,36161.42,36912.48,37666.94,38423.70,39188.02,39962.56,40747.78,41546.03,42358.51,43189.84,44045.27,44927.36,45837.49,1454383.46
Iceland,32758.87,33209.91,33301.34,34005.22,34534.73,35246.26,35242.14,35223.13,35281.27,35432.97,35672.48,35987.92,36368.31,36805.64,37293.97,37828.50,38406.32,39025.32,39683.69,40378.97,41108.53,41871.23,42664.72,43483.90,44315.37,45148.39,45980.66,46810.84,47637.85,48460.33,49277.85,50089.69,50896.50,51700.29,52502.34,53304.49,54107.95,54914.29,55724.52,56538.59,57357.11,58181.10,59012.58,59853.22,60704.15,61566.50,62440.49,63326.71,64225.43,65136.87,66061.96,2376091.43
India,3004.43,3196.92,3310.91,3416.45,3541.23,3705.23,3885.71,4072.01,4265.80,4469.08,4683.34,4909.64,5148.72,5401.13,5667.28,5947.48,6241.91,6550.60,6873.49,7210.38,7561.01,7925.11,8302.40,8692.51,9095.01,9509.48,9935.58,10373.17,10822.24,11282.83,11755.07,12239.20,12735.50,13244.24,13765.65,14299.96,14847.44,15408.38,15982.94,16571.15,17172.94,17788.21,18416.85,19058.64,19713.09,20379.47,21056.98,21744.86,22442.30,23148.46,23862.48,554634.87
Indonesia,3873.15,4071.48,4272.83,4465.56,4665.03,4900.93,5132.90,5372.77,5624.29,5887.99,6163.46,6450.10,6747.39,7054.74,7371.50,7697.07,8030.88,8372.47,8721.44,9077.45,9440.20,9809.47,10185.18,10567.45,10956.50,11352.70,11756.62,12169.11,12591.32,13024.61,13470.52,13930.71,14406.81,14900.33,15412.65,15944.90,16497.86,17071.58,17665.37,18277.82,18906.96,19550.32,20205.02,20867.58,21534.17,22200.50,22862.05,23514.33,24153.28,24775.88,25379.84,637335.07
Ireland,36201.55,36808.41,36662.69,36317.68,36749.00,37272.46,38200.84,39120.07,39937.48,40690.64,41427.62,42175.89,42985.47,43853.61,44771.33,45722.91,46690.15,47641.67,48564.22,49445.68,50275.93,51046.51,51751.97,52388.16,52953.49,53447.66,53872.28,54231.04,54528.72,54772.36,54969.41,55128.83,55260.68,55374.75,55482.12,55593.08,55718.44,55868.15,56051.63,56273.14,56536.39,56844.08,57197.18,57594.57,58032.40,58504.52,59004.47,59526.27,60064.15,60613.81,61171.81,2561317.35
Israel,28613.88,29438.96,30001.60,30657.24,31280.79,31981.13,32531.19,33048.38,33561.36,34090.74,34649.09,35237.32,35849.54,36484.09,37137.95,37808.88,38497.34,39204.58,39928.51,40665.33,41410.82,42161.11,42912.75,43662.49,44407.55,45145.85,45875.97,46595.35,47304.57,48007.24,48707.70,49410.43,50120.53,50843.60,51585.29,52350.34,53142.16,53962.47,54811.72,55689.27,56593.90,57524.73,58480.99,59461.03,60462.56,61483.48,62522.94,63581.22,64658.27,65753.83,66867.63,2336165.67
