Country,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
Australia,35398.5906654995,35772.9242141717,36574.1116712623,37001.0576356261,37490.8264662417,38110.9036106003,39081.6747412596,40110.7308808778,41119.0593611609,42105.2034780123,43081.8462662853,44047.5408042019,45013.2383562016,45986.1322719954,46972.5226190743,47974.9408265482,48962.6241221026,49973.1532649292,51003.433532344,52045.775532049,53094.9646547202,54126.7925029365,55165.8845597729,56211.9006249185,57265.6067756526,58325.8535719288,59356.5250164922,60392.366759677,61431.8000730925,62471.9350717577,63509.9934246132,64510.7418081458,65516.2770979557,66526.3724380271,67541.8818455535,68564.5258047378,69561.099469643,70572.5682666486,71600.5707614342,72646.9096878241,73712.8307284958,74769.7007289486,75848.9942646522,76951.8200828804,78077.978969906,79226.1091588639,80395.1662152874,81585.5669361924,82797.128264303,84029.4685269396,85282.4634551538
Austria,35273.4364326675,36215.0354666497,36388.0284130086,36461.6752240203,36905.1291612373,37602.3746601281,38506.7654420114,39377.6183809702,40173.3509621586,40914.1695612005,41625.1913006137,42312.6969745661,42995.9074048347,43684.9874553251,44386.7265874192,45101.0564363101,45833.1146081821,46584.4952147569,47357.1007640224,48150.484583236,48964.6303441756,49799.7558085119,50654.5741859137,51527.0683125082,52414.6743841952,53316.9718687764,54234.712642883,55163.4436294993,56102.9112054445,57053.4678329062,58011.0035096268,58977.3376021343,59953.7304091904,60939.7732189692,61936.6628445659,62944.2069366729,63960.853513395,64988.9312923737,66031.1607208193,67089.890417594,68162.7642916607,69251.1098084649,70354.5099974811,71473.0602768053,72604.5728736366,73749.1224771436,74905.2461590066,76071.4788805962,77248.8308355903,78435.6235907839,79631.3998394148
Belgium,33010.3734921939,33338.8320377044,33045.7414115189,32884.2758406958,33160.3915393764,33511.3451931976,33925.1065795383,34386.4357713651,34879.7902107355,35406.8070560916,35970.5216651172,36570.3554512682,37199.3468096872,37841.5169275069,38496.9567108172,39166.4095532905,39851.2069720002,40553.4772985229,41274.3969810745,42013.6373923429,42770.0900692098,43543.3439171108,44331.9833498496,45119.6646002986,45905.7301488642,46691.0346307807,47476.4474386402,48263.3613372756,49053.1965167133,49846.9450348528,50645.7880305381,51451.0539266954,52264.6925841239,53088.2494070335,53923.1220067124,54770.2590082901,55630.8160646509,56506.1674090266,57397.530860102,58306.1193774049,59233.1038108159,60179.8158049191,61147.4238127682,62136.7468986617,63147.9980531515,64180.7573365522,65234.8385036905,66310.0958583545,67406.0669114382,68521.6255160615,69655.7839713268
Brazil,10092.7068504211,10278.4683170091,10294.3648737456,10439.8724915462,10537.2928113287,10682.048199276,10905.7144877962,11139.0493817363,11364.9333106146,11583.3915750019,11798.705500352,12015.5360869197,12238.0830743566,12469.8454241461,12713.5732211182,12971.1671871985,13243.6663378374,13531.2477373719,13833.2201381472,14148.148521662,14474.2535887313,14809.760554412,15153.1939261124,15503.3048892259,15859.0462099851,16219.661849342,16584.744572731,16954.2187942172,17328.3189666275,17707.5462714156,18092.6934964513,18484.8516076588,18885.31264752,19295.3140880826,19715.8993576537,20147.6747675934,20590.7065962939,21044.4187199099,21507.4677089899,21977.7763474116,22452.5621762157,22928.5341277482,23402.0686263666,23869.3038668727,24326.5109856828,24770.1480952761,25197.1155720906,25605.1141133477,25992.919765707,26360.9344153273,26710.5942240423
Canada,36287.1051622492,36815.296582222,37068.1289924834,37443.9108209702,37994.4800890115,38652.7386058704,39075.7941991625,39458.6250558727,39855.8775816399,40280.384097996,40734.310113328,41216.2138076387,41723.8446701863,42256.1120843628,42803.7769037792,43360.8931436181,43927.8101117619,44506.2517505769,45097.073970794,45700.342259552,46315.7459412022,46942.6292853347,47580.8024523239,48230.0724122589,48889.8552999045,49559.3671990047,50238.3929521233,50927.2063036297,51625.7666893269,52333.6273470839,53050.3845710758,53776.5773810179,54513.3194147775,55260.7946994813,56018.4849598495,56785.9092518405,57562.7273844857,58349.9720719096,59149.4293082265,59963.2449116898,60792.7659110066,61638.4193090687,62500.1605840433,63377.5741706744,64269.3789913032,65174.0217588736,66090.7020843244,67019.4213853171,67959.7046716308,68911.1063669599,69873.4761433095
Chile,14469.2472485598,15159.3259886527,15842.5265034022,16367.0793523172,16809.6293975103,17374.8079187455,18190.4273140654,19082.1638934088,19997.3665886502,20918.3500391549,21837.2727264898,22748.5169190944,23647.534990611,24531.2215776018,25398.3063821006,26248.8860480043,27084.0815636037,27905.6560935511,28715.6189510493,29516.1543999607,30309.6486584131,31098.713143352,31885.9734166962,32673.7301061384,33464.1431277914,34259.1734114719,35060.5863698994,35869.9981819157,36688.5684644055,37516.8837005394,38355.0296589089,39203.0115253861,40060.8173727472,40927.9342305501,41803.3666364362,42685.8618636822,43574.06709185,44467.2026203616,45364.9121414717,46267.1955099897,47173.7360959683,48083.7962293616,48996.3490263879,49910.4418723105,50825.2657208066,51740.2506758862,52655.5368106655,53571.5838901036,54488.6596436993,55407.3636512397,56328.8034689595
China (People's Republic of),6712.58407879827,7290.63869744596,7799.40525778807,8346.18879989696,8908.00176570676,9507.59248314174,10090.8169487856,10665.0579155485,11233.1440303496,11797.4474201454,12359.7807521724,12921.53186208,13483.541714112,14046.189814056,14609.6932449384,15174.7077746152,15742.9386665555,16316.9388122192,16899.3996142326,17493.3200391399,18102.1091097783,18729.4086873963,19378.7749163607,20053.0719473579,20753.9894383412,21481.7094220215,22234.6015554085,23009.285112896,23801.0423448641,24604.0798581378,25412.0397982891,26218.6682102219,27018.6704275372,27808.0895819168,28584.5145678916,29347.06299159,30096.4596696518,30834.856107578,31565.5225400469,32292.6120056233,33020.7732126532,33754.8633389989,34499.2702147027,35257.3431304522,36031.4478892856,36822.5920775764,37630.6406998557,38454.247132599,39290.802492904,40137.5300493787,40991.2165691147
Czech Republic,23627.8144334237,23970.0998113387,23655.1374224572,23347.8204466399,23562.1935521928,24062.920437461,24989.6520175211,26003.5850585534,27020.3691637979,28028.0583802727,29029.2858256038,30026.6410504935,31021.1487174684,32015.8487044678,33011.0468643539,34005.2729325317,35000.3030231768,35997.7554592809,36997.8526203954,37994.3372759807,38985.7918501208,39971.8104379349,40947.9641853682,41908.6641166804,42849.8920271918,43766.8181118853,44658.3629163728,45524.6779014319,46365.6995854444,47180.8301673982,47974.836186566,48757.6549881815,49534.9983156129,50312.0426100905,51092.3151767122,51880.6222750767,52685.72955593,53508.498748907,54348.401282999,55210.5220263713,56096.7504035848,57011.4050955242,57959.9946815475,58946.1132861309,59970.7383501206,61039.5023515684,62151.6914617453,63310.9235924643,64522.9333252819,65783.9277808382,67101.0484243003
Denmark,32393.522850248,32624.67791492,32393.1155075712,32410.7691838012,32764.5381228434,33234.1999448709,33724.7458916269,34191.2268520923,34645.5940247318,35107.3196637348,35590.0493108854,36100.0145438789,36639.6958246575,37208.7340208937,37806.3940650246,38430.881781678,39080.3798070902,39756.6837467999,40458.1598536668,41182.193764916,41929.5780320845,42699.5476764484,43491.14844456,44310.3202625779,45156.7590716232,46028.8115747855,46924.6511472502,47842.3220603288,48783.3652699158,49750.0708513388,50739.5553366813,51751.0561787975,52787.7485331677,53846.9694558946,54927.3598666053,56027.087488695,57144.2452728669,58277.0875472917,59424.063381907,60583.2088480972,61752.950417427,62931.4860535459,64117.8909134162,65310.7796624873,66508.2383608833,67710.0614067654,68914.3295378112,70122.91127419,71332.5897320674,72547.6834163714,73765.4919486492
Estonia,16613.4105124926,18213.6360326084,18943.8005215903,19113.6972363156,19354.0928608396,19963.6584548177,20868.3894146645,21818.6070030449,22743.1296759881,23633.7917797444,24495.4604660815,25334.9048417856,26156.9366203046,26966.8522444567,27769.2327198515,28569.173734176,29361.5615982294,30150.5007300248,30942.6479417468,31744.4294312559,32556.2841188251,33383.4409704227,34226.0895213415,35084.6634064767,35955.5033179451,36838.102447814,37730.9919596274,38635.605487138,39550.7534030169,40475.6434804076,41405.5364423964,42339.0838530204,43273.5397740366,44206.9202587993,45138.8318679161,46066.6272596965,46990.0869626692,47908.0389366702,48822.512597987,49732.8139108256,50644.7482604503,51563.3856861937,52489.3816815925,53422.1567523704,54366.4769137174,55324.8554391258,56304.6154650322,57309.5139384946,58334.2601456413,59385.4918099928,60455.8487267305
